t = 3.900000, L = 0.647015, A = 0.030610
t = 3.910000, L = 0.647690, A = 0.030674
t = 3.920000, L = 0.648366, A = 0.030738
t = 3.930000, L = 0.649040, A = 0.030802
t = 3.940000, L = 0.649715, A = 0.030866
t = 3.950000, L = 0.650388, A = 0.030930
t = 3.960000, L = 0.651062, A = 0.030994
t = 3.970000, L = 0.651734, A = 0.031058
t = 3.980000, L = 0.652407, A = 0.031122
t = 3.990000, L = 0.653079, A = 0.031186
t = 4.000000, L = 0.653750, A = 0.031250
t = 4.010000, L = 0.654421, A = 0.031314
t = 4.020000, L = 0.655092, A = 0.031379
t = 4.030000, L = 0.655762, A = 0.031443
t = 4.040000, L = 0.656431, A = 0.031507
t = 4.050000, L = 0.657101, A = 0.031571
t = 4.060000, L = 0.657769, A = 0.031635
t = 4.070000, L = 0.658438, A = 0.031700
t = 4.080000, L = 0.659106, A = 0.031764
t = 4.090000, L = 0.659773, A = 0.031828
t = 4.100000, L = 0.660440, A = 0.031893
t = 4.110000, L = 0.661106, A = 0.031957
t = 4.120000, L = 0.661772, A = 0.032021
t = 4.130000, L = 0.662438, A = 0.032086
t = 4.140000, L = 0.663103, A = 0.032150
t = 4.150000, L = 0.663768, A = 0.032215
t = 4.160000, L = 0.664432, A = 0.032279
t = 4.170000, L = 0.665096, A = 0.032344
t = 4.180000, L = 0.665759, A = 0.032408
t = 4.190000, L = 0.666422, A = 0.032473
t = 4.200000, L = 0.667085, A = 0.032537
t = 4.210000, L = 0.667747, A = 0.032602
t = 4.220000, L = 0.668408, A = 0.032666
t = 4.230000, L = 0.669069, A = 0.032731
t = 4.240000, L = 0.669730, A = 0.032796
t = 4.250000, L = 0.670391, A = 0.032860
t = 4.260000, L = 0.671050, A = 0.032925
t = 4.270000, L = 0.671710, A = 0.032990
t = 4.280000, L = 0.672369, A = 0.033054
t = 4.290000, L = 0.673027, A = 0.033119
t = 4.300000, L = 0.673686, A = 0.033184
t = 4.310000, L = 0.674343, A = 0.033249
t = 4.320000, L = 0.675001, A = 0.033314
t = 4.330000, L = 0.675658, A = 0.033378
t = 4.340000, L = 0.676314, A = 0.033443
t = 4.350000, L = 0.676970, A = 0.033508
t = 4.360000, L = 0.677626, A = 0.033573
t = 4.370000, L = 0.678281, A = 0.033638
t = 4.380000, L = 0.678936, A = 0.033703
t = 4.390000, L = 0.679590, A = 0.033768
t = 4.400000, L = 0.680244, A = 0.033833
t = 4.410000, L = 0.680897, A = 0.033898
t = 4.420000, L = 0.681551, A = 0.033963
t = 4.430000, L = 0.682203, A = 0.034028
t = 4.440000, L = 0.682856, A = 0.034093
t = 4.450000, L = 0.683507, A = 0.034158
t = 4.460000, L = 0.684159, A = 0.034223
t = 4.470000, L = 0.684810, A = 0.034288
t = 4.480000, L = 0.685460, A = 0.034353
t = 4.490000, L = 0.686111, A = 0.034418
t = 4.500000, L = 0.686760, A = 0.034484
t = 4.510000, L = 0.687410, A = 0.034549
t = 4.520000, L = 0.688059, A = 0.034614
t = 4.530000, L = 0.688707, A = 0.034679
t = 4.540000, L = 0.689356, A = 0.034744
t = 4.550000, L = 0.690003, A = 0.034810
t = 4.560000, L = 0.690651, A = 0.034875
